"""Institution""",State,HD2022.Level of institution,HD2022.Control of institution,SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,DRVADM2022.Percent admitted - total,SAT Composite 25th percentile score,SAT Composite 50th percentile score,SAT Composite 75th Percentile Score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,national.html,artsandhumanities.html,businessandeconomics.html,clinicalandhealth.html,computerscience.html,education.html,engineering.html,law.html,lifesciences.html,physicalsciences.html,psychology.html,socialsciences.html,
"""Colorado State University-Fort Collins""",Colorado,Four or more years,Public,84,10653,10727,14311,22243,27159,30449,50309,91,1080,1180,1290,23,26,29,89,104,84,67,118,99,83,,55,51,10085,,
"""Colorado Technical University-Colorado Springs""",Colorado,Four or more years,Private for-profit,95,16103,16997,18482,19666,20598,,,,0,0,0,,,,,,,,,,,,,,,,
"""Community College of Aurora""",Colorado,At least 2 but less than 4 years,Public,64,5183,5699,8194,14126,13363,,,,0,0,0,,,,,,,,,,,,,,,,
"""Technical College of the Rockies""",Colorado,Less than 2 years (below associate),Public,33,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Community College of Denver""",Colorado,Four or more years,Public,80,8160,9215,9864,14055,17180,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lincoln College of Technology-Denver""",Colorado,At least 2 but less than 4 years,Private for-profit,93,31610,31517,34284,35575,35707,,,,0,0,0,,,,,,,,,,,,,,,,
"""Denver Seminary""",Colorado,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Denver""",Colorado,Four or more years,Private not-for-profit,100,21832,21182,26213,31356,44714,76059,76059,78,1220,1320,1400,28,30,32,110,105,115,,,58,,64,,132,5697,,
"""Emily Griffith Technical College""",Colorado,Less than 2 years (below associate),Public,85,5184,5755,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fort Lewis College""",Colorado,Four or more years,Public,98,10551,11793,13569,18137,20639,27022,37534,91,1060,1160,1260,18,22,25,,,,,,,,,,,,,
"""Front Range Community College""",Colorado,Four or more years,Public,100,7781,8282,10890,14723,16708,,,,0,0,0,,,,,,,,,,,,,,,,
"""Iliff School of Theology""",Colorado,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""International Salon and Spa Academy""",Colorado,Less than 2 years (below associate),Private for-profit,77,16685,20259,21086,23634,23634,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lamar Community College""",Colorado,At least 2 but less than 4 years,Public,99,8086,8115,11338,14603,16900,19522,22026,,0,0,0,,,,,,,,,,,,,,,,
"""Colorado Mesa University""",Colorado,Four or more years,Public,93,11845,12776,15088,19080,20237,25443,39165,82,930,1050,1180,18,22,25,,,,,,,,,,,,,
"""Metropolitan State University of Denver""",Colorado,Four or more years,Public,100,12938,13283,15763,19684,21745,,,98,910,1020,1130,16,20,23,,,,,,,,,,,,,
"""Morgan Community College""",Colorado,Four or more years,Public,88,9103,10464,12117,14930,15332,,,,0,0,0,,,,,,,,,,,,,,,,
"""Naropa University""",Colorado,Four or more years,Private not-for-profit,93,20221,20242,0,46737,43362,51224,51224,100,0,0,0,,,,,,,,,,,,,,,,
"""Nazarene Bible College""",Colorado,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Northeastern Junior College""",Colorado,At least 2 but less than 4 years,Public,95,9268,10215,13374,16129,17612,20647,22993,,0,0,0,,,,,,,,,,,,,,,,
"""University of Northern Colorado""",Colorado,Four or more years,Public,100,14834,14090,15568,17742,21739,28794,42184,79,990,1090,1200,20,24,27,,,,,,,,,,,,,
"""Otero College""",Colorado,At least 2 but less than 4 years,Public,99,9852,10240,13527,15576,15775,20426,22930,,0,0,0,,,,,,,,,,,,,,,,
"""Pikes Peak State College""",Colorado,Four or more years,Public,82,8060,8982,11093,15265,16733,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pueblo Community College""",Colorado,Four or more years,Public,94,10367,10882,12423,18294,17181,,,,0,0,0,,,,,,,,,,,,,,,,
"""Red Rocks Community College""",Colorado,Four or more years,Public,60,7631,9137,10580,15644,17388,,,,0,0,0,,,,,,,,,,,,,,,,
"""Regis University""",Colorado,Four or more years,Private not-for-profit,100,18805,20827,21235,22789,30596,60354,60354,76,1020,1120,1220,20,25,27,,,,,,,,,,,,,
"""Rocky Mountain College of Art and Design""",Colorado,Four or more years,Private for-profit,91,21914,24213,26314,28992,27277,,,,0,0,0,,,,,,,,,,,,,,,,
"""Montessori Education Center of the Rockies""",Colorado,Four or more years,Private not-for-profit,25,20180,0,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Colorado State University Pueblo""",Colorado,Four or more years,Public,98,9468,10023,13022,13063,18871,28531,35610,99,900,1020,1150,17,21,25,,,,,,,,,,,,,
"""Pickens Technical College""",Colorado,At least 2 but less than 4 years,Public,71,7215,7228,7405,9532,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Intellitec College-Colorado Springs""",Colorado,At least 2 but less than 4 years,Private for-profit,82,19276,21489,20982,25600,25475,,,,0,0,0,,,,,,,,,,,,,,,,
"""Intellitec College-Grand Junction""",Colorado,At least 2 but less than 4 years,Private for-profit,83,17296,17477,20612,21536,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Trinidad State College""",Colorado,Four or more years,Public,99,10874,12100,12886,16532,18972,21252,24372,,0,0,0,,,,,,,,,,,,,,,,
"""University of Colorado System Office""",Colorado,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""United States Air Force Academy""",Colorado,Four or more years,Public,,0,0,0,0,0,,,16,1310,1395,1480,28,31,33,,,,,,,,,,,,,
"""Empire Beauty School-Thornton""",Colorado,Less than 2 years (below associate),Private for-profit,84,14801,15756,17080,13397,20492,,,,0,0,0,,,,,,,,,,,,,,,,
"""Western Colorado University""",Colorado,Four or more years,Public,94,11035,10521,13005,18030,20253,25635,37659,92,1010,1130,1270,21,25,29,,,,,,,,,,,,,
"""Albertus Magnus College""",Connecticut,Four or more years,Private not-for-profit,97,25039,25604,26120,29532,29077,60682,60682,80,0,0,0,,,,,,,,,,,,,,,,
"""Asnuntuck Community College""",Connecticut,At least 2 but less than 4 years,Public,89,9953,10956,10526,12001,12859,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bais Binyomin Academy""",New York,Four or more years,Private not-for-profit,100,16926,19097,19348,18450,0,20400,20400,100,0,0,0,,,,,,,,,,,,,,,,
"""University of Bridgeport""",Connecticut,Four or more years,Private not-for-profit,100,25169,27432,27297,28480,25352,60982,60982,82,935,1090,1160,,,,,,,,,,,,,,,,
"""Central Connecticut State University""",Connecticut,Four or more years,Public,96,11705,12494,14913,17462,20234,28426,41314,77,940,1060,1160,18,22,24,,,,,,,,,,,,,
"""Charter Oak State College""",Connecticut,Four or more years,Public,100,10191,0,0,0,18386,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cortiva Institute""",Connecticut,Less than 2 years (below associate),Private for-profit,70,24053,24500,25703,29659,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Connecticut College""",Connecticut,Four or more years,Private not-for-profit,99,15923,13770,22084,30365,45017,82285,82285,40,1360,1420,1490,30,32,33,,,,,,,,,,,,,
"""Porter & Chester Institute of Hamden""",Connecticut,Less than 2 years (below associate),Private for-profit,100,21864,22140,23836,27091,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Connecticut""",Connecticut,Four or more years,Public,89,14821,16030,21049,28647,31470,37038,59706,55,1220,1330,1440,28,31,33,80,51,85,68,94,50,67,38,67,81,4674,,
"""Goodwin University""",Connecticut,Four or more years,Private not-for-profit,95,24428,22991,24488,24871,21667,34370,34370,,0,0,0,,,,,,,,,,,,,,,,
"""Lincoln Technical Institute-East Windsor""",Connecticut,At least 2 but less than 4 years,Private for-profit,94,32194,32963,36110,38665,39543,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eastern Connecticut State University""",Connecticut,Four or more years,Public,100,13872,14295,15911,20737,21396,32206,35442,74,980,1080,1190,16,20,28,,,,,,,,,,,,,
"""Fairfield University""",Connecticut,Four or more years,Private not-for-profit,96,35943,33125,36458,38426,48276,74085,74085,52,1240,1310,1370,28,30,31,,,,,,,,,,,,,
"""Paul Mitchell the School-North Haven""",Connecticut,Less than 2 years (below associate),Private for-profit,65,16906,19864,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Capital Community College""",Connecticut,At least 2 but less than 4 years,Public,93,9495,9412,10094,10455,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Rensselaer at Hartford""",Connecticut,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Institute-West Hartford""",Connecticut,At least 2 but less than 4 years,Private for-profit,99,19758,19836,19599,23999,23999,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hartford International University for Religion and Peace""",Connecticut,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Hartford""",Connecticut,Four or more years,Private not-for-profit,99,27022,28070,28391,31796,34465,64100,64100,83,1080,1190,1290,22,27,29,,,,,,,,,,,,,
"""Holy Apostles College and Seminary""",Connecticut,Four or more years,Private not-for-profit,33,5035,0,11530,11530,11530,25600,25600,,0,0,0,,,,,,,,,,,,,,,,
"""Housatonic Community College""",Connecticut,At least 2 but less than 4 years,Public,86,12125,12067,12095,12392,12000,,,,0,0,0,,,,,,,,,,,,,,,,
"""Manchester Community College""",Connecticut,At least 2 but less than 4 years,Public,88,9449,9413,9439,10450,8987,,,,0,0,0,,,,,,,,,,,,,,,,
"""Naugatuck Valley Community College""",Connecticut,At least 2 but less than 4 years,Public,86,9002,8816,9255,9303,9685,,,,0,0,0,,,,,,,,,,,,,,,,
"""Middlesex Community College""",Connecticut,At least 2 but less than 4 years,Public,89,6035,6085,6267,6434,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mitchell College""",Connecticut,Four or more years,Private not-for-profit,100,22627,22447,29584,31290,34423,55950,55950,77,0,0,0,,,,,,,,,,,,,,,,
"""Three Rivers Community College""",Connecticut,At least 2 but less than 4 years,Public,91,5943,6069,6547,6677,7299,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lincoln Technical Institute-New Britain""",Connecticut,At least 2 but less than 4 years,Private for-profit,94,36854,37360,37883,40160,38701,,,,0,0,0,,,,,,,,,,,,,,,,
"""New England Tractor Trailer Training School of Connecticut""",Connecticut,Less than 2 years (below associate),Private for-profit,78,14525,13495,16171,14623,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of New Haven""",Connecticut,Four or more years,Private not-for-profit,100,28032,29547,30939,34186,35968,66382,66382,91,1090,1180,1270,,,,,,,,,,,,,,,,
"""Norwalk Community College""",Connecticut,At least 2 but less than 4 years,Public,73,6343,6244,6674,6270,6921,,,,0,0,0,,,,,,,,,,,,,,,,
"""Northwestern Connecticut Community College""",Connecticut,At least 2 but less than 4 years,Public,90,9320,9617,10598,11495,13515,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paier College""",Connecticut,Four or more years,Private for-profit,68,27439,30139,32598,0,33946,46980,46980,95,0,0,0,,,,,,,,,,,,,,,,
"""Porter & Chester Institute""",Connecticut,Less than 2 years (below associate),Private for-profit,95,19575,20076,22181,25067,26180,,,,0,0,0,,,,,,,,,,,,,,,,
"""Post University""",Connecticut,Four or more years,Private for-profit,97,20108,14229,14292,11546,12349,33660,33660,,0,0,0,,,,,,,,,,,,,,,,
"""Quinebaug Valley Community College""",Connecticut,At least 2 but less than 4 years,Public,88,7904,8983,9321,8877,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Quinnipiac University""",Connecticut,Four or more years,Private not-for-profit,100,33296,32709,33699,38821,42979,70540,70540,84,1120,1210,1300,24,26,29,,,,,,,,,,,,,
"""Sacred Heart University""",Connecticut,Four or more years,Private not-for-profit,100,37986,39204,42068,44891,46287,67950,67950,66,0,0,0,,,,,,,,,,,,,,,,
"""University of Saint Joseph""",Connecticut,Four or more years,Private not-for-profit,100,20652,22734,24325,25818,28454,60356,60356,75,1070,1170,1275,,,,,,,,,,,,,,,,
"""Gateway Community College""",Connecticut,At least 2 but less than 4 years,Public,86,10434,10328,10831,10598,14511,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southern Connecticut State University""",Connecticut,Four or more years,Public,92,17542,17443,18091,20772,23564,30710,43598,83,0,0,0,,,,,,,,,,,,,,,,
"""Stone Academy-West Haven""",Connecticut,At least 2 but less than 4 years,Private for-profit,82,21675,24849,18732,25282,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Trinity College""",Connecticut,Four or more years,Private not-for-profit,71,13519,11341,16866,26486,49303,83090,83090,36,1300,1380,1470,30,31,32,,,,,,,,,,,,,
"""Tunxis Community College""",Connecticut,At least 2 but less than 4 years,Public,90,9648,9824,10714,10776,16067,,,,0,0,0,,,,,,,,,,,,,,,,
"""United States Coast Guard Academy""",Connecticut,Four or more years,Public,,0,0,0,0,0,,,24,1160,1280,1365,26,28,31,,,,,,,,,,,,,
"""Wesleyan University""",Connecticut,Four or more years,Private not-for-profit,49,5122,3847,6975,15364,44356,85172,85172,14,1320,1420,1510,31,32,34,,,,,,,,,,,,,
"""Western Connecticut State University""",Connecticut,Four or more years,Public,84,15298,15634,17169,18640,20784,30463,43357,84,1010,1120,1230,19,25,29,,,,,,,,,,,,,
"""Yale University""",Connecticut,Four or more years,Private not-for-profit,59,341,1751,5283,14152,45628,85120,85120,5,1500,1540,1580,33,35,35,7,6,6,4,13,,9,7,129,7,57,,
"""Margaret H Rollins School of Nursing at Beebe Medical Center""",Delaware,Less than 2 years (below associate),Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dawn Career Institute LLC""",Delaware,Less than 2 years (below associate),Private for-profit,62,14630,13697,16621,18245,18793,,,,0,0,0,,,,,,,,,,,,,,,,
"""Delaware Technical Community College-Central Office""",Delaware,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Delaware Technical Community College-Terry""",Delaware,Four or more years,Public,89,7172,7790,9058,10063,10724,,,,0,0,0,,,,,,,,,,,,,,,,
"""Delaware State University""",Delaware,Four or more years,Public,97,10907,12077,14018,14843,14352,28906,38828,55,830,930,1060,20,22,24,,,,,,,,,,,,,
"""University of Delaware""",Delaware,Four or more years,Public,93,11644,11783,14209,19968,25149,32444,54964,74,1190,1280,1360,26,29,31,90,80,101,69,67,53,46,,76,67,6996,,
"""Goldey-Beacom College""",Delaware,Four or more years,Private not-for-profit,99,18062,19177,20431,19838,20001,27690,27690,63,0,0,0,,,,,,,,,,,,,,,,
"""Schilling-Douglas School of Hair Design LLC""",Delaware,Less than 2 years (below associate),Private for-profit,70,16458,17833,11654,20447,20447,,,,0,0,0,,,,,,,,,,,,,,,,
"""Wilmington University""",Delaware,Four or more years,Private not-for-profit,55,15183,15811,16327,19155,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American University""",District of Columbia,Four or more years,Private not-for-profit,83,25678,22059,30528,34332,50571,71703,71703,41,1290,1370,1430,29,31,32,118,126,79,,,,,25,,128,12280,,
"""The Catholic University of America""",District of Columbia,Four or more years,Private not-for-profit,99,24529,20499,23829,30696,38121,75006,75006,86,0,0,0,,,,121,67,,,,,,,,96,147,,
"""University of the District of Columbia""",District of Columbia,Four or more years,Public,99,13708,13821,13920,18015,16227,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies""",District of Columbia,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Gallaudet University""",District of Columbia,Four or more years,Private not-for-profit,95,9127,11632,13876,16807,24402,39712,39712,59,752,855,1089,14,16,20,,,,,,,,,,,,,
"""George Washington University""",District of Columbia,Four or more years,Private not-for-profit,79,18368,14458,19941,28823,50187,80945,80945,49,1330,1410,1490,31,32,34,58,68,40,37,76,60,84,20,68,82,5742,,
"""Georgetown University""",District of Columbia,Four or more years,Private not-for-profit,45,5070,3558,11409,21955,51119,84696,84696,12,1410,1500,1560,32,34,35,53,32,48,36,96,,,8,79,149,31,,
"""Howard University""",District of Columbia,Four or more years,Private not-for-profit,99,41343,43029,46001,47831,48186,51450,51450,53,1050,1170,1290,20,23,26,146,,,104,,83,,,,,149,,
"""Strayer University-District of Columbia""",District of Columbia,Four or more years,Private for-profit,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""National Conservatory of Dramatic Arts""",District of Columbia,At least 2 but less than 4 years,Private not-for-profit,33,9422,0,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Trinity Washington University""",District of Columbia,Four or more years,Private not-for-profit,98,11556,11797,12676,13744,18573,40690,40690,97,0,0,0,,,,,,,,,,,,,,,,
"""Wesley Theological Seminary""",District of Columbia,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Atlantic Technical College""",Florida,At least 2 but less than 4 years,Public,91,11507,11381,8321,13497,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""The Baptist College of Florida""",Florida,Four or more years,Private not-for-profit,100,8244,2228,8229,9743,0,21232,21232,92,930,1040,1200,17,20,23,,,,,,,,,,,,,
"""Barry University""",Florida,Four or more years,Private not-for-profit,100,17474,18839,21625,22783,26412,50558,50558,60,0,0,0,,,,,,,,,,,,,,,,
"""Bethune-Cookman University""",Florida,Four or more years,Private not-for-profit,99,14623,15093,18569,19189,21579,29940,29940,85,830,900,980,15,16,18,,,,,,,,,,,,,
"""Lynn University""",Florida,Four or more years,Private not-for-profit,99,32389,33319,38149,37642,40372,61398,61398,80,1035,1100,1185,22,24,25,,,,,,,,,,,,,
"""North Florida Technical College""",Florida,Less than 2 years (below associate),Public,100,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eastern Florida State College""",Florida,Four or more years,Public,66,4653,5516,7951,9709,10503,17948,25191,,0,0,0,,,,,,,,,,,,,,,,
"""Broward College""",Florida,Four or more years,Public,100,12289,13706,15874,18087,19949,,,,0,0,0,,,,,,,,,,,,,,,,
"""Albizu University-Miami""",Florida,Four or more years,Private not-for-profit,67,29319,25133,0,0,0,,,89,0,0,0,,,,,,,,,,,,,,,,
"""College of Central Florida""",Florida,Four or more years,Public,98,8817,9459,11800,13913,14651,,,,0,0,0,,,,,,,,,,,,,,,,
"""Johnson University Florida""",Florida,Four or more years,Private not-for-profit,100,17366,19483,19141,26777,26692,30230,30230,79,870,960,1040,,,,,,,,,,,,,,,,
"""University of Central Florida""",Florida,Four or more years,Public,96,5851,7261,10566,14490,16337,24036,40135,41,1200,1278,1360,25,27,29,88,103,61,83,58,49,56,,75,80,9983,,
"""Charlotte Technical College""",Florida,Less than 2 years (below associate),Public,93,9174,10686,13085,13905,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Chipola College""",Florida,Four or more years,Public,99,1610,1046,3840,6086,0,11415,17245,,0,0,0,,,,,,,,,,,,,,,,
"""Lorenzo Walker Technical College""",Florida,Less than 2 years (below associate),Public,88,8168,10439,9788,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Daytona State College""",Florida,Four or more years,Public,74,5408,5890,8137,10027,10183,,,,0,0,0,,,,,,,,,,,,,,,,
"""South University-West Palm Beach""",Florida,Four or more years,Private for-profit,100,19092,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eckerd College""",Florida,Four or more years,Private not-for-profit,100,28854,23964,30455,29216,36212,67204,67204,65,1120,1230,1300,24,26,29,,,,,,,,,,,,,
"""Florida SouthWestern State College""",Florida,Four or more years,Public,98,6938,7709,10278,12277,13518,18803,28381,,0,0,0,,,,,,,,,,,,,,,,
