Institution,State,IC2022.Typical room charge for academic year,IC2022.Typical board charge for academic year,IC2022.Combined charge for room and board,DRVEF2022.Percent of first-time undergraduates - in-state,DRVEF2022.Percent of first-time undergraduates - out-of-state,DRVEF2022.Percent of first-time undergraduates - foreign countries,"SFA2122.Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVADM2022.Percent admitted - total,DRVADM2022.Admissions yield - total,"DRVIC2022.Tuition and fees, 2022-23",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,HD2022.Sector of institution,HD2022.Level of institution,HD2022.Control of institution,DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native,DRVEF2022.Percent of total enrollment that are Asian,DRVEF2022.Percent of total enrollment that are Black or African American,DRVEF2022.Percent of total enrollment that are Hispanic/Latino,DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,DRVEF2022.Percent of total enrollment that are White,DRVEF2022.Percent of total enrollment that are U.S. Nonresident,DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,"DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident",SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average amount of federal, state, local or institutional grant aid awarded",ADM2022.SAT Evidence-Based Reading and Writing 25th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 50th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 75th percentile score,ADM2022.SAT Math 25th percentile score,ADM2022.SAT Math 50th percentile score,ADM2022.SAT Math 75th percentile score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,ADM2022.ACT English 25th percentile score,ADM2022.ACT English 50th percentile score,ADM2022.ACT English 75th percentile score,ADM2022.ACT Math 25th percentile score,ADM2022.ACT Math 50th percentile score,ADM2022.ACT Math 75th percentile score
College of the Holy Cross,Massachusetts,9100,7520,,35,61,3,63,,,,,,,34679,17648,10890,17534,33795,54645,36,35,58360,76880,76880,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,4,12,0,71,3,4,91,,94,94,100,84,90,92,90,72,39615,640,680,720,620,670,710,28,30,32,28,32,34,25,27,30
Holyoke Community College,Massachusetts,,,,99,1,0,98,7927,6518,7605,9218,12753,13815,,,,,,,,,5570,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,3,6,28,0,54,1,3,25,0,23,25,0,5,10,34,100,99,6264,,,,,,,,,,,,,,,
Lasell University,Massachusetts,,,16500,55,43,2,98,,,,,,,29706,21776,22079,27840,28982,32298,73,15,42630,62630,62630,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,11,12,0,61,3,3,61,,45,45,,50,49,65,55,100,32757,510,590,640,485,555,628,22,24,26,21,24,26,,,
Lawrence Memorial Hospital School of Nursing,Massachusetts,,,,,,,67,,,,,,,,,,,,,,,27587,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,4,16,21,0,54,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesley University,Massachusetts,11078,7210,,57,38,5,89,,,,,,,32414,26082,24408,31675,31915,34667,86,9,31364,53352,53352,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,8,12,0,59,3,5,61,100,64,64,,62,61,61,71,100,16279,,,,,,,,,,,,,,,
Longy School of Music of Bard College,Massachusetts,,,,0,13,88,100,,,,,,,30524,13805,29030,42155,,,89,15,50675,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,6,3,1,0,17,53,6,82,,,,,,100,80,80,100,31776,,,,,,,,,,,,,,,
Lowell Academy Hairstyling Institute,Massachusetts,,,,75,25,0,63,,,,,,,19216,18124,17549,,22521,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,3,5,23,0,66,2,3,62,,,,,,,,,54,3505,,,,,,,,,,,,,,,
University of Massachusetts-Lowell,Massachusetts,8710,5520,,87,10,3,68,17240,10882,11405,15656,20372,24700,,,,,,,86,18,16182,32732,51100,"Public, 4-year or above",Four or more years,Public,0,12,8,12,0,52,7,12,71,,72,72,,64,59,74,76,91,11983,580,620,668,590,630,680,25,28,31,25,28,33,23,26,28
University of Massachusetts-Amherst,Massachusetts,7840,6283,,65,24,9,77,22291,10858,11824,15768,22651,29809,,,,,,,64,19,16952,33475,54694,"Public, 4-year or above",Four or more years,Public,0,11,5,8,0,55,13,12,83,75,82,81,100,81,75,85,81,91,12350,630,680,720,630,690,760,29,31,33,27,32,35,26,28,32
University of Massachusetts-Boston,Massachusetts,10896,6000,,78,14,8,98,17123,13107,14259,16926,22747,24658,,,,,,,81,15,15132,34750,55723,"Public, 4-year or above",Four or more years,Public,0,13,16,16,0,35,10,13,51,25,61,61,100,44,48,51,53,99,11104,540,600,650,540,590,650,24,27,29,22,28,31,22,26,28
Massachusetts Bay Community College,Massachusetts,,,,97,2,0,52,6872,5268,6021,8144,10989,12501,,,,,,,,,5376,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,5,14,24,0,42,3,5,18,0,19,19,,9,18,18,41,78,6301,,,,,,,,,,,,,,,
MCPHS University,Massachusetts,15500,4300,,63,37,0,95,,,,,,,38776,33586,35000,38888,38734,40378,88,15,37230,62134,62134,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,18,10,9,0,39,15,18,61,,67,67,,44,52,67,55,99,18093,530,580,660,560,650,710,25,26,31,,,,24,29,32
University of Massachusetts-Central Office,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Unit,Four or more years,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts College of Art and Design,Massachusetts,,,17200,64,33,3,97,23737,12632,15706,20119,25012,27959,,,,,,,79,20,14570,34670,61060,"Public, 4-year or above",Four or more years,Public,0,7,4,14,0,51,6,7,66,50,70,70,,59,61,67,74,100,8494,,,,,,,,,,,,,,,
Massachusetts Institute of Technology,Massachusetts,11980,6810,,7,81,12,77,,,,,,,20232,5347,-2251,1918,13035,44726,4,85,57986,79850,79850,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,21,5,10,0,25,30,21,95,,98,98,,93,94,96,91,79,45591,740,760,780,790,800,800,35,35,36,35,35,36,35,35,36
Massachusetts Maritime Academy,Massachusetts,8460,5588,,73,25,2,97,21668,5013,4618,5181,22261,31605,,,,,,,89,34,10634,30872,44760,"Public, 4-year or above",Four or more years,Public,1,1,1,5,0,83,1,1,79,,40,40,,40,71,81,100,99,11804,,,,,,,,,,,,,,,
University of Massachusetts Chan Medical School,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,"Public, 4-year or above",Four or more years,Public,0,20,7,5,0,53,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,
William James College,Massachusetts,,,,,,,100,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,11,12,0,63,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts School of Barbering,Massachusetts,,,,100,0,0,52,,,,,,,12127,13342,12891,3941,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,2,30,15,0,43,0,2,67,,,,,,,,,84,6576,,,,,,,,,,,,,,,
Massasoit Community College,Massachusetts,,,,99,1,0,49,9024,7195,7661,8690,10772,13939,,,,,,,,,5376,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,33,10,0,43,1,2,19,50,14,14,,8,17,27,20,71,7553,,,,,,,,,,,,,,,
Merrimack College,Massachusetts,10328,7967,,66,31,3,95,,,,,,,37296,26132,28586,34604,34545,39754,75,12,49196,69941,69941,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,4,9,0,75,2,2,68,0,58,57,100,58,52,70,62,98,27729,,,,,,,,,,,,,,,
MGH Institute of Health Professions,Massachusetts,,,,,,,30,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,15,7,10,0,60,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex Community College,Massachusetts,,,,97,3,0,91,3265,1022,1901,3136,7063,9314,,,,,,,,,6048,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,16,9,20,0,48,3,16,16,0,16,16,,12,13,20,20,99,5044,,,,,,,,,,,,,,,
Montserrat College of Art,Massachusetts,11800,,,42,55,4,100,,,,,,,34280,24930,27735,34737,34268,37030,,,37850,58450,58450,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,3,12,0,53,1,3,62,,0,0,,60,67,56,,100,20165,,,,,,,,,,,,,,,
Mount Holyoke College,Massachusetts,8620,8560,,16,60,23,78,,,,,,,35765,17822,21476,22975,27914,45825,40,28,58498,77678,77678,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,7,7,9,0,50,22,7,83,,84,84,,78,71,83,84,83,39304,690,730,770,660,700,770,30,32,34,33,34,35,27,29,32
Mount Wachusett Community College,Massachusetts,,,,96,4,0,53,7889,5648,6221,7765,12795,13639,,,,,,,,,5760,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,3,10,20,0,62,0,3,27,,33,36,0,26,23,29,0,73,7716,,,,,,,,,,,,,,,
Rob Roy Academy-New Bedford,Massachusetts,,,,100,0,0,67,,,,,,,24675,24255,22941,25038,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,0,33,0,50,0,0,67,,,,,,,,,100,4826,,,,,,,,,,,,,,,
The New England Conservatory of Music,Massachusetts,12560,5960,,2,98,0,91,,,,,,,53162,3236,17541,35999,45474,31796,38,16,55910,77870,77870,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,12,2,2,0,36,42,12,81,,100,100,,83,75,74,89,96,22068,,,,,,,,,,,,,,,
New England College of Optometry,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,24,3,5,0,32,32,24,,,,,,,,,,,,,,,,,,,,,,,,,,
New England Law-Boston,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,6,10,0,69,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Nichols College,Massachusetts,,,14110,57,40,3,93,,,,,,,27192,18940,24159,19757,31582,36359,85,16,38800,56510,56510,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,9,11,0,71,3,2,58,,67,67,,42,33,64,50,100,26515,470,520,590,475,540,590,,,,,,,,,
Massachusetts College of Liberal Arts,Massachusetts,7600,6032,,55,45,0,100,15377,12483,17616,21213,18552,20054,,,,,,,92,13,11590,30025,38970,"Public, 4-year or above",Four or more years,Public,0,3,9,10,0,68,0,3,56,50,50,50,,58,52,56,0,100,9044,,,,,,,,,,,,,,,
North Bennet Street School,Massachusetts,,,,61,39,0,60,,,,,,,32617,34740,,31840,,,,,,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,5,7,3,0,76,2,5,86,,100,,100,,0,88,,80,12770,,,,,,,,,,,,,,,
North Shore Community College,Massachusetts,,,,99,1,0,59,8444,7095,7400,9653,11772,12977,,,,,,,,,5352,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,5,10,32,0,43,0,5,21,50,26,26,,22,14,24,,68,5502,,,,,,,,,,,,,,,
Northeastern University,Massachusetts,10250,8180,,21,66,12,67,,,,,,,35827,2227,2715,9324,19469,46187,7,41,60192,81422,81422,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,14,4,8,0,33,36,14,91,50,95,95,,88,89,92,87,85,42331,700,730,760,740,770,790,33,34,35,34,35,35,30,33,35
Northern Essex Community College,Massachusetts,,,,92,8,0,67,7390,6029,6756,7919,10983,11651,,,,,,,,,5688,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,5,46,0,41,1,2,19,,8,11,0,5,14,25,18,84,5045,,,,,,,,,,,,,,,
College of Our Lady of the Elms,Massachusetts,,,14830,72,26,0,82,,,,,,,23498,18726,19086,21444,23180,26031,91,14,40635,59381,59381,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,12,16,0,47,1,3,75,,100,100,,50,65,79,,98,27109,545,580,665,525,560,635,,,,,,,,,
Pine Manor College,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pope St John XXIII National Seminary,Massachusetts,,,14500,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,2,9,0,70,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy College,Massachusetts,,,,98,2,0,60,14744,12989,13172,15302,17899,18028,,,,,,,,,7344,,,"Public, 4-year or above",Four or more years,Public,0,8,23,9,0,44,3,8,16,,19,19,,9,7,19,30,71,7293,,,,,,,,,,,,,,,
Quinsigamond Community College,Massachusetts,,,,98,1,1,71,6809,6164,6771,8753,12073,13220,,,,,,,,,5830,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,6,15,23,0,46,0,6,21,33,27,26,50,10,10,28,100,78,6635,,,,,,,,,,,,,,,
Regis College,Massachusetts,,,17080,69,29,1,78,,,,,,,30014,23781,26397,30781,31638,32497,89,8,46150,67300,67300,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,7,12,0,24,0,2,67,,57,57,,53,58,75,100,100,31088,,,,,,,,,,,,,,,
Roxbury Community College,Massachusetts,,,,99,0,0,60,9672,9378,9829,12794,,,,,,,,,,,5784,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,49,15,0,4,1,2,14,0,33,33,,13,15,0,,83,6358,,,,,,,,,,,,,,,
Saint John's Seminary,Massachusetts,,,13173,,,,100,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,3,18,0,59,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,Massachusetts,,,14954,90,8,1,74,19277,12977,15185,17901,20613,24357,,,,,,,93,18,11978,29916,36899,"Public, 4-year or above",Four or more years,Public,0,3,8,20,0,59,3,3,55,0,30,30,,50,54,58,58,99,8562,508,580,630,478,530,580,,,,,,,,,
Simmons University,Massachusetts,,,16368,52,41,7,98,,,,,,,24423,12883,14076,16869,23274,32807,76,13,44350,64548,64548,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,6,9,9,0,50,2,6,74,,78,78,,70,66,76,68,100,36606,610,650,700,590,620,690,28,31,32,27,31,32,25,27,30
Bard College at Simon's Rock,Massachusetts,,,17200,23,61,16,89,,,,,,,44326,21580,17857,28068,39388,49930,95,64,64951,84151,84151,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,8,6,7,0,44,11,8,65,0,69,69,,40,60,63,94,98,38119,,,,,,,,,,,,,,,
Smith College,Massachusetts,10200,10140,,11,76,13,70,,,,,,,30790,14214,14016,14098,23430,46976,23,37,58768,82134,82134,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,9,5,12,0,52,13,9,89,,91,90,100,86,82,88,98,74,49109,700,730,760,670,710,760,31,33,34,34,35,36,27,29,32
Southeastern Technical Institute,Massachusetts,,,,100,0,0,70,11923,13189,47,,,12513,,,,,,,31,92,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,26,12,0,60,0,0,72,,,,,,,,,71,4020,,,,,,,,,,,,,,,
Springfield College,Massachusetts,7468,6252,,36,59,4,99,,,,,,,27930,19057,18834,22056,27472,31385,76,20,41694,58964,58964,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,3,7,9,0,67,4,3,73,67,50,50,,49,58,78,83,100,28376,550,600,640,550,590,660,26,31,31,26,31,31,26,27,28
Springfield Technical Community College,Massachusetts,,,,97,2,0,83,9836,8281,8986,10888,13783,14689,,,,,,,,,5520,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,4,14,32,0,38,1,4,22,33,36,37,0,21,20,20,17,98,4786,,,,,,,,,,,,,,,
University of Massachusetts-Dartmouth,Massachusetts,10543,5950,,87,12,1,81,19700,13898,15988,18840,22635,24909,,,,,,,96,16,14854,34519,50657,"Public, 4-year or above",Four or more years,Public,0,4,15,11,0,57,6,4,55,0,56,56,,49,42,61,50,98,10055,510,580,640,510,560,620,22,28,31,23,31,34,21,27,31
Stonehill College,Massachusetts,10632,4468,,61,36,2,98,,,,,,,31021,18779,21378,22086,25337,34714,73,14,52000,69600,69600,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,5,7,0,77,2,3,79,,57,62,0,88,59,80,80,100,34710,,,,,,,,,,,,,,,
Suffolk University,Massachusetts,15450,3792,,56,36,8,92,,,,,,,32270,23300,23217,24273,28086,33750,87,15,43332,65464,65464,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,7,7,13,0,53,14,7,60,,70,71,0,51,52,61,63,97,27856,550,610,670,530,580,630,24,27,30,,,,,,
Rob Roy Academy-Taunton,Massachusetts,,,,100,0,0,48,,,,,,,25605,25163,28197,,,26104,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,0,0,0,100,0,0,100,,,,,,,,,56,5114,,,,,,,,,,,,,,,
Tufts University,Massachusetts,9142,7636,,21,65,14,40,,,,,,,30479,9223,6812,14765,26144,57478,10,50,65222,84600,84600,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,15,6,9,0,45,15,15,94,,95,95,,94,93,93,96,46,51613,710,740,760,740,770,790,33,34,35,,,,,,
Wellesley College,Massachusetts,9944,9136,,11,73,16,61,,,,,,,21362,10197,7815,15240,29986,52206,14,51,61920,83050,83050,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,22,7,15,0,32,14,23,90,,91,91,,89,89,90,89,65,61328,720,740,770,710,750,780,33,34,35,34,35,35,29,32,34
Wentworth Institute of Technology,Massachusetts,12120,3300,,67,29,3,89,,,,,,,37901,32946,33757,35427,38255,39151,92,16,38760,57380,57380,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,9,7,12,0,56,5,9,69,,73,73,100,66,52,71,67,99,18237,550,600,660,570,610,680,25,27,31,24,27,28,25,27,28
Western New England University,Massachusetts,7430,7240,,54,44,1,93,,,,,,,30214,25284,25410,28093,30758,32256,88,11,44500,62230,62230,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,6,10,0,71,3,3,67,0,50,47,100,41,53,73,43,99,24781,540,590,640,550,600,640,24,26,29,22,28,28,26,26,26
Westfield State University,Massachusetts,8300,4724,,89,11,0,63,18021,9542,11744,16785,20909,22188,,,,,,,82,15,11500,28406,34486,"Public, 4-year or above",Four or more years,Public,0,2,6,11,0,69,1,2,60,100,46,46,,49,47,63,100,96,6904,,,,,,,,,,,,,,,
Wheaton College (Massachusetts),Massachusetts,7850,6950,,38,57,0,99,,,,,,,32863,25906,24415,29929,31491,35630,79,15,60230,77030,77030,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,6,7,0,70,4,4,80,,67,67,,79,79,81,75,99,41665,630,660,700,630,680,690,27,30,33,,,,,,
Williams College,Massachusetts,7900,7630,,14,76,9,53,,,,,,,20965,4561,1191,3998,12166,43981,8,44,61770,81000,81000,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,13,5,12,0,48,10,13,95,,97,97,,84,96,96,95,55,57121,730,750,780,750,780,790,34,35,35,35,35,36,31,34,35
Worcester Polytechnic Institute,Massachusetts,9482,7206,,45,47,7,94,,,,,,,46876,30910,30348,35916,42582,48017,57,20,57096,76040,76040,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,10,3,8,0,58,15,10,89,57,85,85,,78,89,90,87,97,27059,,,,,,,,,,,,,,,
Worcester State University,Massachusetts,8793,4452,,93,5,1,95,14435,9888,11385,14299,17119,19567,,,,,,,88,19,10786,27099,33179,"Public, 4-year or above",Four or more years,Public,0,5,8,15,0,63,1,5,59,0,86,86,,56,48,62,50,100,5881,500,565,610,515,560,610,22,26,29,22,25,28,20,23,26
Adrian College,Michigan,6010,6970,,64,30,6,96,,,,,,,24870,18619,20384,21237,25896,28434,69,22,39596,55498,55498,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,7,6,1,61,6,1,51,0,25,33,0,25,39,56,89,99,31555,470,520,580,470,520,580,17,21,25,15,20,24,17,21,25
Albion College,Michigan,6080,6390,,67,28,1,99,,,,,,,19351,12342,11689,15497,19731,27008,67,9,54930,68900,68900,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,16,12,0,56,3,2,59,50,54,54,,40,61,64,100,100,47406,,,,,,,,,,,,,,,
Hillsdale Beauty College,Michigan,,,,100,0,0,82,,,,,,,11853,11911,12213,11846,11276,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,0,3,0,94,0,0,60,,,,,,,,,93,2739,,,,,,,,,,,,,,,
Northwestern Technological Institute,Michigan,,,,100,0,0,88,,,,,,,32357,32196,33890,35590,36633,36633,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,39,1,0,53,0,0,75,,,,,,,,,88,4622,,,,,,,,,,,,,,,
Alma College,Michigan,6949,5674,,90,6,4,99,,,,,,,23995,17595,15765,21523,23520,26581,65,15,45616,61550,61550,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,4,4,0,80,3,1,62,50,29,29,,29,58,65,100,100,34736,,,,,,,,,,,,,,,
Alpena Community College,Michigan,4150,,,99,1,0,51,4001,1167,2383,5816,8434,9660,,,,,,,,,4980,17710,17710,"Public, 4-year or above",Four or more years,Public,3,2,2,3,0,90,0,2,44,25,50,50,,20,33,45,,100,7639,,,,,,,,,,,,,,,
Andrews University,Michigan,5324,4150,,28,59,10,88,,,,,,,24194,19735,19240,23622,27709,27341,91,21,32734,44408,44408,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,10,20,18,1,23,22,11,71,,78,78,,60,74,74,61,98,18557,560,610,670,540,600,680,20,23,29,19,24,31,18,22,28
Aquinas College,Michigan,4906,6490,,84,13,3,91,,,,,,,18605,11203,13359,16329,17223,21663,91,16,37280,50886,50886,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,3,8,0,72,5,2,61,100,0,0,,44,60,63,63,100,30049,500,550,600,500,550,580,,,,,,,,,
Baker College,Michigan,4600,,,94,6,0,79,,,,,,,13719,10478,11508,13153,18118,18838,37,42,12710,25410,25410,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,9,4,0,75,0,2,20,25,14,14,,10,19,22,,97,9110,,,,,,,,,,,,,,,
Bay de Noc Community College,Michigan,3600,2100,,83,15,1,64,10108,7818,8941,10610,12139,13527,,,,,,,,,5580,22252,23902,"Public, 2-year",At least 2 but less than 4 years,Public,3,1,2,3,0,86,0,1,32,29,,,,0,15,34,,100,5125,,,,,,,,,,,,,,,
Bayshire Academy of Beauty Craft Inc,Michigan,,,,100,0,0,75,,,,,,,5094,5456,4092,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,1,0,16,6,0,65,0,0,79,,,,,,,,,75,3471,,,,,,,,,,,,,,,
Calvin University,Michigan,,,11150,51,33,15,94,,,,,,,25775,17504,19681,20234,24103,27355,74,20,38620,54070,54070,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,4,4,0,71,12,5,77,0,74,74,,68,63,78,80,100,26448,560,620,680,560,625,690,25,28,30,23,28,32,21,25,29
Calvin Theological Seminary,Michigan,4000,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,9,5,8,0,37,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie Institute,Michigan,,,,100,0,0,51,,,,,,,14960,14960,,,,,,,15042,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,4,16,2,0,78,0,4,70,,,,,100,,63,,75,6335,,,,,,,,,,,,,,,
Michigan School of Psychology,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,15,4,1,72,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Michigan University,Michigan,5562,5686,,90,9,2,91,15605,10003,10153,12071,15385,17921,,,,,,,79,13,13650,26968,26968,"Public, 4-year or above",Four or more years,Public,1,2,9,5,0,69,8,2,62,29,67,74,29,51,53,65,67,99,11314,500,550,620,480,540,600,21,24,27,20,23,27,19,23,27
Mott Community College,Michigan,,,,100,0,0,83,8071,6704,7080,8562,10569,11802,,,,,,,,,4235,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,13,20,0,51,0,1,16,,25,33,0,10,18,18,0,99,5546,,,,,,,,,,,,,,,
Empire Beauty School-Michigan,Michigan,,,,100,0,0,57,,,,,,,16020,15433,16386,18665,19118,20581,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,2,19,17,0,38,0,2,44,,,,,,,,,86,4683,,,,,,,,,,,,,,,
Cleary University,Michigan,10000,4200,,82,12,7,84,,,,,,,27209,32192,31590,33265,31235,33706,68,19,23629,42829,42829,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,4,2,0,22,4,1,64,100,100,100,,75,75,69,,86,8447,,,,,,,,,,,,,,,
Concordia University Ann Arbor,Michigan,8780,3020,,72,26,0,87,,,,,,,26353,19961,23957,24378,25271,28520,70,16,32982,50842,50842,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,8,5,0,70,2,1,52,100,50,0,100,42,25,55,50,95,21163,,,,,,,18,20,27,15,20,25,18,25,25
Cranbrook Academy of Art,Michigan,3868,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,2,5,9,6,0,44,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,
